,music,interest
0,Queen/David Bowie : Under Pressure,6.51269464028
0,The Clash : (White Man) In Hammersmith Palais,6.19789971679
0,John Lennon : Number 9 Dream,5.79730465103
0,Vampire Weekend : A-Punk,5.77198701054
0,LCD Soundsystem : Losing My Edge,5.38421143249
0,Stevie Wonder : Superstition,5.35048800959
0,"Dizzee Rascal : Fix Up, Look Sharp",5.27862100725
0,The Beatles : I Want to Hold Your Hand,4.77515437171
0,Daft Punk : One More Time,4.76427711929
0,"Buzzcocks : Ever Fallen In Love (With Someone You Shouldn’t’ve)
",4.66349388328
0,James Brown : Papa’s Got a Brand New Bag,4.57772912481
0,Bob Dylan : Hurricane,4.48077520727
0,Primal Scream : Higher Than the Sun,4.44078599594
0,The Who : I Can See For Miles,4.41315433914
0,Primal Scream : Shoot Speed/Kill Light,4.33892398897
0,Lou Reed : Walk On The Wild Side,4.31029961008
0,OutKast : Hey Ya!,4.29251392617
0,Sinead O’Connor : Nothing Compares 2 U,4.24286879277
0,New Order : Blue Monday,4.23712230466
0,The White Stripes : Seven Nation Army,4.21308768107
0,Franz Ferdinand : Take Me Out,4.16208769147
0,R.E.M. : Losing My Religion,4.15617864673
0,Manic Street Preachers : Motorcycle Emptiness,4.08771149336
0,The Beatles : Hello Goodbye,4.03978293264
0,MGMT : Time To Pretend,4.00769393796
0,The Flaming Lips : Do You Realize??,3.99769958074
0,Chuck Berry : Roll Over Beethoven,3.9664329794
0,Prince & the Revolution : Purple Rain,3.94397196257
0,Michael Jackson : Billie Jean,3.93172575265
0,"Booker T & the MG’s : Green Onions
",3.90989277159
0,Doves : There Goes the Fear,3.90280179307
0,Blur : The Universal,3.89675544344
0,PJ Harvey : Sheela-Na-Gig,3.89244622131
0,Blur : Song 2,3.86424967211
0,Martha & the Vandellas : Nowhere to Run,3.84416243787
0,Elton John : Tiny Dancer,3.76056304288
0,Super Furry Animals : Ice Hockey Hair,3.70050509622
0,Pixies : Debaser,3.58718166218
0,David Bowie : Heroes,3.57238652281
0,Aphex Twin : Window Licker,3.56718804295
0,Glen Campbell : Witchita Lineman,3.56116152042
0,Joy Division : Love Will Tear Us Apart,3.56069017219
0,Elvis Presley : Suspicious Minds,3.54013886958
0,Pixies : Where is My Mind?,3.53293654023
0,Missy Elliot : Get Ur Freak On,3.52350133337
0,Public Enemy : Rebel Without a Pause,3.51470227778
0,The Strokes : Last Nite,3.50907280961
0,N.W.A. : Straight Outta Compton,3.46907433187
0,Oasis : Don’t Look Back in Anger,3.36935207625
0,David Bowie : Changes,3.33784633757
0,The Breeders : Cannonball,3.33382368995
0,Motorhead : Ace of Spades,3.32960132163
0,Arctic Monkeys : I Bet You Look Good on the Dancefloor,3.31051272476
0,Grandmaster Flash & The Furious Five : The Message,3.26113255811
0,The Stone Roses : I Am The Resurrection,3.25797706563
0,Kanye West/Jay-Z/Rick Ross/Bon Iver/Nicki Minaj : Monster,3.25276069636
0,Bob Dylan : Subterranean Homesick Blues,3.23426220498
0,Blondie : Atomic,3.20776990941
0,The Who : My Generation,3.19301606469
0,Jay Z : 99 Problems,3.1662075471
0,Yeah Yeah Yeahs : Maps,3.14017847944
0,Dusty Springfield : Son of a Preacher Man,3.1238979452
0,The La’s : There She Goes,3.11064565851
0,The Rolling Stones : Gimme Shelter,3.10254567017
0,The Clash : Complete Control,3.09702483012
0,Britney Spears : Toxic,3.08013872303
0,Suede : The Drowners,3.06828961799
0,Primal Scream : Loaded,3.04930612843
0,Jesus and Mary Chain : Just Like Honey,3.04485023323
0,Rage Against The Machine : Killing In The Name,3.0413019489
0,Madonna : Like A Prayer,3.03255431143
0,Blur : This is a Low,3.02818440213
0,Eminem : Lose Yourself,3.02566377141
0,Joy Division : Atmosphere,3.02340290728
0,Prince : Sign ‘O” the Times,3.01054832622
0,Warren G./Nate Dogg : Regulate,3.00722698455
0,David Bowie : Life On Mars,2.99911540923
0,The Smiths : This Charming Man,2.98919211735
0,Beastie Boys : Fight For Your Right to Party,2.97093243908
0,The Libertines : Don’t Look Back into the Sun,2.95101596712
0,The Rolling Stones : Jumpin” Jack Flash,2.9476224698
0,Martha & the Vandellas : Dancing in the Street,2.94429832172
0,Donna Summer : I Feel Love,2.93671966469
0,The Strokes : Someday,2.93465919576
0,The Cribs : Men’s Needs,2.93240432501
0,Love : Alone Again Or,2.90431814309
0,Oasis : Supersonic,2.86795613021
0,Bob Dylan : Like A Rolling Stone,2.80528949311
0,Paul McCartney : Temporary Secretary,2.7706524217
0,"Bob Marley & the Wailers : No Woman, No Cry",2.74331209504
0,Teenage Fanclub : The Concept,2.72504413042
0,The Beach Boys : God Only Knows,2.72013589442
0,Ike And Tina Turner : River Deep : Mountain High,2.71225058219
0,LCD Soundsystem : Someone Great,2.71221972963
0,The Rapture : House of Jealous Lovers,2.6944347721
0,Lana Del Ray : Video Games,2.68564305969
0,The Streets : Dry Your Eyes,2.67543712402
0,Public Enemy : Fight The Power,2.67096938592
0,The Beatles : Blackbird,2.65770388937
0,The Libertines : What A Waster,2.64305858167
0,"The Kingsmen : Louie, Louie",2.63716513493
0,Happy Mondays : Step On,2.63286730761
0,Queens Of The Stone Age : No One Knows,2.63076762292
0,The Libertines : Can’t Stand Me Now,2.60291958613
0,The Ronettes : Be My Baby,2.56553292583
0,LCD Soundsystem : All My Friends,2.55897894442
0,The Beatles : Strawberry Fields Forever,2.55684432546
0,Dexy’s Midnight Runners : Geno,2.55493604154
0,Lee Hazelwood and Nancy Sinatra : Some Velvet Morning,2.55006201216
0,The White Stripes : Hotel Yorba,2.54646502577
0,The Beatles : Eleanor Rigby,2.5142263378
0,Radiohead : Paranoid Android,2.51099002487
0,Pixies : Monkey Gone to Heaven,2.50813432678
0,Joy Division : Transmission,2.49509516489
0,Kraftwerk : The Model,2.49160562973
0,Pulp : Disco 2000,2.4855988303
0,The Jam : The Eton Rifles,2.44889902589
0,Kanye West : Gold Digger,2.44548101782
0,Talking Heads : Once In A Lifetime,2.40374651978
0,Wu-Tang Clan : Protect Ya Neck,2.37800208729
0,Ben E. King : Stand By Me,2.32562295253
0,The Prodigy : No Good (Start the Dance),2.31049883862
0,Otis Redding : (Sittin’ on) the Dock of the Bay,2.3092648218
0,David Bowie : Young Americans,2.28731968102
0,The Charlatans : The Only One I Know,2.2861524672
0,The Clash : London Calling,2.2808266178
0,Radiohead : Creep,2.28066136817
0,The Gossip : Standing in the Way of Control,2.27075752441
0,The Beatles : Hey Jude,2.25348787546
0,Arctic Monkeys : Mardy Bum,2.24502550146
0,Jesus and Mary Chain : Never Understand,2.23760092451
0,The Beach Boys : Good Vibrations,2.23670752659
0,Jay Z & Kanye West : Niggas In Paris,2.23527616222
0,Beastie Boys : Sabotage,2.1919506342
0,Pulp : Babies,2.16855585377
0,The Smiths : How Soon Is Now?,2.14418456911
0,Arcade Fire : Wake Up,2.12467353854
0,The Killers : Mr. Brightside,2.12394258029
0,he Flamin” Groovies : Shake Some Action,2.12015903167
0,Marvin Gaye : I Heard It Through The Grapevine,2.10834660547
0,Amy Winehouse : Back To Black,2.10125857973
0,The Rolling Stones : Paint It Black,2.08017540558
0,Blur : Tender,2.07764176531
0,Beyoncé : Crazy In Love,2.05841512393
0,The White Stripes : Fell In Love With A Girl,2.05837896143
0,Pixies : Gigantic,2.05596475392
0,Kate Bush : Running Up That Hill,2.05072195235
0,The Verve : Bitter Sweet Sympony,2.05040749023
0,Prince : When Doves Cry,2.04127552192
0,My Bloody Valentine : Soon,2.03376130853
0,Suede : Animal Nitrate,2.02881605208
0,New Order : True Faith,2.0235695519
0,The Libertines : Time For Heroes,2.0233106161
0,Blondie : Heart of Glass,2.01030289817
0,Morrissey : Everyday Is Like Sunday,1.99551480929
0,Oasis : Cigarrettes & Alcohol,1.99076991575
0,The Sex Pistols : Pretty Vacant,1.98567837687
0,The Velvet Underground : Venus In Furs,1.97348709847
0,Supergrass : Alright,1.97168506105
0,Kate Bush : Wuthering Heights,1.96256167288
0,David Bowie : Ashes To Ashes,1.93901881306
0,Bat For Lashes : Daniel,1.92993612923
0,The Stone Roses : Made of Stone,1.9151655741
0,The Who : Won’t Get Fooled Again,1.90583712619
0,The Kinks : Waterloo Sunset,1.88922796619
0,Blur : Girls & Boys,1.88268752137
0,Roxy Music : Virginia Plain,1.86997691228
0,The Beatles : Taxman,1.82444762911
0,Jimi Hendrix : Purple Haze,1.80009190295
0,Fontella Bass : Rescue Me,1.79821683213
0,The Stone Roses : Fools Gold,1.77781040536
0,Massive Attack : Unfinished Sympathy,1.76154275547
0,Sam Cooke : A Change is Gonna Come,1.76006154218
0,Pet Shop Boys : West End Girls,1.71599887837
0,Manic Street Preachers : A Design For Life,1.71404220645
0,McAlmont & Butler : Yes,1.69249985506
0,Jeff Buckley : Hallelujiah,1.67355444949
0,Mott the Hoople : All the Young Dudes,1.67120763479
0,The Smiths : There Is a Light That Never Goes Out,1.63036896983
0,Oasis : Live Forever,1.62906980111
0,The Beatles : A Day in the Life,1.57323474642
0,The Specials : Ghost Town,1.56334992724
0,The Doors : Light My Fire,1.54224391704
0,The Undertones : Teenage Kicks,1.51385558626
0,Nirvana : Smells Like Teen Spirit,1.47885262452
0,Oasis : Wonderwall,1.4542802945
0,Bruce Springsteen : Born To Run,1.43338946557
0,Dinosaur Jr. : Freak Scene,1.41076662619
0,Jackson 5 : I Want You Back,1.35654351597
0,Sex Pistols : God Save The Queen,1.31749820931
0,Nick Cave & The Bad Seeds : Into My Arms,1.29917343655
0,Eric B. and Rakim : Follow the Leader,1.25760448486
0,Hot Chip : Over and Over,1.19264474837
0,Pulp : Common People,1.08427749735
0,Sex Pistols : Anarchy In The UK,0.81808424879
0,Smokey Robinson and The Miracles : The Tracks of My Tears,0.816656663663
0,The Cure : Boys Don’t Cry,0.80126519134
0,M.I.A. : Paper Planes,0.797072973834
0,The Stone Roses : Waterfall,0.794033723507
0,Hole : Celebrity Skin,0.779191044741
